name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/1,https://github.com/kubernetes/cloud-provider-gcp/pull/1,awly,Import gke-certificates-controller from k8s.io/kubernetes,Ported over the commit history and added vendored deps.,"['nicksardo', 'mikedanese']",21,2018-03-21 21:13:23,2018-04-05 23:19:35,2018-04-24 21:25:01,True,2018-04-05 23:19:35,calebamiles,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/2,https://github.com/kubernetes/cloud-provider-gcp/pull/2,mikedanese,add mikedanese to owners,"mikdanese needs to approve changes to gke-certificates-controller which
will live in this repo.

mikedanese is:
* emeritus maintainer of gcp cloud provider.
* owner of k8s.io/kubernetes/pkg/cloudprovider.",['calebamiles'],1,2018-03-22 18:24:29,2018-03-26 19:59:02,2018-03-26 21:43:48,True,2018-03-26 19:59:02,calebamiles,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/3,https://github.com/kubernetes/cloud-provider-gcp/pull/3,awly,Copy SAR approver code into gke certs controller,"Original code: https://github.com/kubernetes/kubernetes/blob/master/pkg/controller/certificates/approver/sarapprove.go

The code is not identical, some modifications were made to support
future attestation checks.

Also remove 500ms backoff time in gkeSigner test to cut down testing
time from 7s to 0.2s.",['mikedanese'],1,2018-04-06 18:43:58,2018-04-09 21:19:09,2018-04-24 21:24:49,True,2018-04-09 21:19:09,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/4,https://github.com/kubernetes/cloud-provider-gcp/pull/4,mikedanese,setup build with bazel,@awly ,['cjcullen'],3,2018-04-13 16:16:54,2018-04-13 19:07:01,2018-04-16 21:29:17,True,2018-04-13 19:07:01,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/5,https://github.com/kubernetes/cloud-provider-gcp/pull/5,awly,Remove non-GCP auth providers,Also prune their dependency tree.,['mikedanese'],2,2018-04-13 22:12:18,2018-04-19 20:08:02,2018-04-24 21:24:45,True,2018-04-19 20:08:01,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/7,https://github.com/kubernetes/cloud-provider-gcp/pull/7,awly,Approve Kubelet serving CSR,"Validate same as client CSRs, plus check DNSNames SAN.

DNSNames should contain GCE VM name. Approver checks it against cluster
project in VM metadata (customer project, not master project).
Optionally it also checks that VM belongs to cluster's NodePool.",['mikedanese'],2,2018-04-19 18:25:00,2018-04-24 20:59:01,2018-04-24 21:24:42,True,2018-04-24 20:59:01,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/8,https://github.com/kubernetes/cloud-provider-gcp/pull/8,awly,Stamp docker images with commit SHA instead of timestamp,,['mikedanese'],1,2018-04-23 18:34:20,2018-04-23 20:37:02,2018-04-24 21:24:43,True,2018-04-23 20:37:02,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/9,https://github.com/kubernetes/cloud-provider-gcp/pull/9,awly,Tag images with explicit meaningful version,,['mikedanese'],1,2018-04-25 22:55:56,2018-04-25 23:01:04,2018-07-26 17:54:33,True,2018-04-25 23:01:03,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/10,https://github.com/kubernetes/cloud-provider-gcp/pull/10,awly,Fix node server cert validation,"- discard warnings when parsing gce.conf
- get instance name from csr.Spec.Username (instead of DNS SAN)
- move SAN filtering out of isNodeCert
- handle private instance IP
- add logging around CSR approvals",['mikedanese'],1,2018-04-27 19:32:36,2018-04-30 21:05:17,2018-07-26 17:54:37,True,2018-04-30 21:05:17,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/11,https://github.com/kubernetes/cloud-provider-gcp/pull/11,awly,Bump certs controller version,This adds support for node serving certs.,['mikedanese'],1,2018-04-30 21:50:35,2018-05-01 21:21:18,2018-07-26 17:54:28,True,2018-05-01 21:21:18,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/12,https://github.com/kubernetes/cloud-provider-gcp/pull/12,awly,Update and re-run gazelle,This is mostly so that `bazel run :gazelle` produces no diffs and doesn't break stuff in the future.,['mikedanese'],2,2018-05-07 20:20:28,2018-05-11 17:32:28,2018-07-26 17:54:27,True,2018-05-11 17:32:28,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/13,https://github.com/kubernetes/cloud-provider-gcp/pull/13,awly,Exec auth plugin using VM ID token,"Most of the code is copied from k8s.io/kubernetes/pkg/kubelet/certificate/...
The only major difference is in request.go where we fetch a VM ID token for Bearer field instead of parsing bootstrap-kubeconfig.",['mikedanese'],2,2018-05-09 21:54:08,2018-05-11 18:42:30,2018-07-26 17:54:27,True,2018-05-11 18:42:30,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/14,https://github.com/kubernetes/cloud-provider-gcp/pull/14,awly,Add TPM mode to exec auth plugin,"TPM mode bootstraps TLS key/cert using k8s CSR endpoint with TPM
attestation. The key/cert are cached returned instead of a token.

Note: some parts of the implementation are stubbed out temporarily for
testing.",['mikedanese'],2,2018-05-22 21:40:13,2018-06-07 17:06:27,2018-07-26 17:54:24,True,2018-06-07 17:06:26,k8s-ci-robot,unknown,,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/15,https://github.com/kubernetes/cloud-provider-gcp/pull/15,awly,Add bazel rule to push exec plugin to GCS,,['saad-ali'],1,2018-05-23 23:44:47,2018-07-03 23:13:13,2018-07-26 17:53:44,False,,,dirty,False,closed
cloud-provider-gcp,https://api.github.com/repos/kubernetes/cloud-provider-gcp/pulls/17,https://github.com/kubernetes/cloud-provider-gcp/pull/17,awly,Cert controller validation for tpm attestation,"Still WIP, want to submit implementation in smaller chunks.",['mikedanese'],6,2018-05-24 20:26:01,2018-07-03 21:33:21,2018-07-26 17:53:41,True,2018-07-03 21:33:21,k8s-ci-robot,unknown,,closed
