name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/180,https://github.com/hyperledger/composer-sample-networks/pull/180,ryjones,Remove extra copies of Apache 2 license,Signed-off-by: Ry Jones <ry@linux.com>,[],1,2018-08-21 05:33:28,2018-09-04 06:27:00,2018-09-04 06:27:00,False,,,blocked,True,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/179,https://github.com/hyperledger/composer-sample-networks/pull/179,RiehaB,Updated composer version,"Contributes to hyperledger/composer#4238
Signed-off-by: Rieha Burrell <rieha.burrell@ibm.com>",[],1,2018-08-10 09:55:02,2018-08-10 10:09:32,2018-08-10 10:09:33,True,2018-08-10 10:09:32,bestbeforetoday,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/178,https://github.com/hyperledger/composer-sample-networks/pull/178,awjh-ibm,Fixes for 0.2.5,Fixes issues #175 #176 #177,[],1,2018-05-30 14:48:22,2018-05-30 15:21:00,2018-05-30 15:21:00,True,2018-05-30 15:21:00,awjh-ibm,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/174,https://github.com/hyperledger/composer-sample-networks/pull/174,nklincoln,update image files for fund clearing sample network,"Signed-off-by: Nick Lincoln <nkl199@yahoo.co.uk>

New image files 👍 ",[],1,2018-05-30 11:09:07,2018-05-30 11:15:49,2018-05-30 11:25:33,True,2018-05-30 11:15:49,mbwhite,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/173,https://github.com/hyperledger/composer-sample-networks/pull/173,erin-hughes,Letters of Credit network,"The network behind the letters of credit sample application, check out the README.md for more details.",[],1,2018-05-29 13:18:40,2018-05-30 10:52:29,2018-05-30 10:52:29,True,2018-05-30 10:52:28,mbwhite,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/172,https://github.com/hyperledger/composer-sample-networks/pull/172,nklincoln,Fund clearing,"This is a sample network intended to enable bilateral clearing with settlement - please see the README.md for more details!

PR includes:
- all resource files
- testing (unit, mocha FV and cucumber)

PR does not include:
- image links for network icon(s)",[],9,2018-05-09 19:11:54,2018-05-23 08:21:17,2018-05-23 08:21:17,True,2018-05-23 08:21:17,awjh-ibm,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/171,https://github.com/hyperledger/composer-sample-networks/pull/171,awjh-ibm,Adding licenses to md,Adding licenses to markdown. Relates to https://github.com/hyperledger/composer/issues/1220#issuecomment-386329076,[],1,2018-05-08 13:57:30,2018-05-09 08:22:56,2018-05-09 08:22:56,True,2018-05-09 08:22:56,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/170,https://github.com/hyperledger/composer-sample-networks/pull/170,flibustier,Update sample.feature,Fix little mistake in scenario where Bob should be used instead of Alice identity,[],1,2018-04-26 08:13:00,2018-04-26 14:20:32,2018-04-26 14:20:32,True,2018-04-26 14:20:32,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/168,https://github.com/hyperledger/composer-sample-networks/pull/168,jt-nti,Replace acme namespace,"Replace instances of org.acme with org.example in basic sample and
trade networks to match updates in composer docs

Contributes to hyperledger/composer#2662

Signed-off-by: James Taylor <jamest@uk.ibm.com>",['mbwhite'],1,2018-04-17 15:22:39,2018-04-19 12:50:59,2018-04-19 12:50:59,True,2018-04-19 12:50:58,mbwhite,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/166,https://github.com/hyperledger/composer-sample-networks/pull/166,ceseale,fix json format for updating order example,Signed-off-by: Colin Seale <ceseale3@gmail.com>,[],1,2018-04-06 16:35:46,2018-04-07 08:05:27,2018-04-07 08:05:27,True,2018-04-07 08:05:27,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/165,https://github.com/hyperledger/composer-sample-networks/pull/165,awjh-ibm,Fix license checking,Updated to use latest license checker to allow for shebang at top of deploy.sh,[],2,2018-04-05 08:48:06,2018-04-07 08:12:26,2018-04-07 08:12:26,True,2018-04-07 08:12:26,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/164,https://github.com/hyperledger/composer-sample-networks/pull/164,Tagada85,Land registry sample,"Ok, I've tried to do a little land registry business network. This is my first attempt at it. Let me know if I need to improve anything! :)",[],4,2018-04-01 19:15:15,2018-06-28 20:06:36,2018-06-28 20:06:36,False,,,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/162,https://github.com/hyperledger/composer-sample-networks/pull/162,sstone1,Shebang for deploy script not at top of file,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-03-26 08:19:42,2018-03-26 08:23:50,2018-03-26 08:23:52,True,2018-03-26 08:23:50,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/161,https://github.com/hyperledger/composer-sample-networks/pull/161,sstone1,Bump to v0.19.0,,['sstone1'],2,2018-03-26 07:22:49,2018-03-26 08:08:48,2018-03-29 09:05:02,True,2018-03-26 08:08:48,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/160,https://github.com/hyperledger/composer-sample-networks/pull/160,awjh-ibm,Adding licenses,Adding licenses as requested in https://github.com/hyperledger/composer/issues/1220,[],1,2018-03-23 10:49:53,2018-03-23 13:03:47,2018-03-23 13:03:47,True,2018-03-23 13:03:47,nklincoln,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/159,https://github.com/hyperledger/composer-sample-networks/pull/159,ayyavoosuresh,Master,,[],23,2018-03-22 05:09:41,2018-03-26 07:00:23,2018-03-26 07:00:23,False,,,dirty,False,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/158,https://github.com/hyperledger/composer-sample-networks/pull/158,davidkel,Update Samples for Native Fabric Deployment,Signed-off-by: Dave Kelsey <d_kelsey@uk.ibm.com>,[],2,2018-03-21 17:11:27,2018-03-26 07:21:46,2018-03-27 06:42:47,False,,,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/157,https://github.com/hyperledger/composer-sample-networks/pull/157,nklincoln,tidy sample network tests,"Use the following vars through test:
```
const namespace = 'org.acme.sample';
const assetType = 'SampleAsset';
const assetNS = namespace + '.' + assetType;
const participantType = 'SampleParticipant';
const participantNS = namespace + '.' + participantType;
```


closes #156",[],1,2018-03-14 16:59:31,2018-03-14 17:06:56,2018-03-23 12:53:39,True,2018-03-14 17:06:56,nklincoln,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/153,https://github.com/hyperledger/composer-sample-networks/pull/153,ceseale,fix json format for updating order example,"Fix for small bug in README.md:
<img width=""755"" alt=""screen shot 2018-03-12 at 3 43 45 pm"" src=""https://user-images.githubusercontent.com/7860694/37313398-3faae226-260c-11e8-92ba-8e7fbdb9943d.png"">
",[],1,2018-03-12 22:54:43,2018-03-26 07:22:17,2018-03-26 07:22:17,False,,,blocked,True,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/150,https://github.com/hyperledger/composer-sample-networks/pull/150,awjh-ibm,Added the options field to a PlaceOrderEvent,"Added the options field to a place order event so that format matches the transaction.

Also includes updates to tests to match composer cloud wallet changes.",[],1,2018-03-01 12:20:09,2018-03-01 13:47:09,2018-03-01 13:47:09,True,2018-03-01 13:47:09,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/149,https://github.com/hyperledger/composer-sample-networks/pull/149,awjh-ibm,Added the options field to a PlaceOrderEvent,Added the options field to a place order event so that format matches the transaction,[],1,2018-03-01 12:19:19,2018-03-01 12:42:32,2018-03-01 12:42:32,True,2018-03-01 12:42:32,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/148,https://github.com/hyperledger/composer-sample-networks/pull/148,sstone1,Bump version to v0.18.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,[],1,2018-02-28 16:52:26,2018-02-28 21:36:05,2018-02-28 21:36:16,True,2018-02-28 21:36:05,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/147,https://github.com/hyperledger/composer-sample-networks/pull/147,Sarthak1983,Master,,[],17,2018-02-20 10:02:18,2018-02-20 10:04:55,2018-02-20 10:04:55,False,,,dirty,False,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/146,https://github.com/hyperledger/composer-sample-networks/pull/146,awjh-ibm,Inital vehicle manufacture network (v0.16.x),"The new vehicle manufacture network to be used by the updated vehicle demo when installing against composer@latest.

Relates to:

    hyperledger/composer#3130
    hyperledger/composer-sample-applications#112
",[],1,2018-02-05 10:04:39,2018-02-09 10:25:03,2018-02-09 10:25:03,True,2018-02-09 10:25:03,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/145,https://github.com/hyperledger/composer-sample-networks/pull/145,awjh-ibm,Inital vehicle manufacture network,"The new vehicle manufacture network to be used by the updated vehicle demo when installing against composer@next.

Relates to:
- https://github.com/hyperledger/composer/issues/3130
- https://github.com/hyperledger/composer-sample-applications/pull/112",[],1,2018-02-05 10:03:03,2018-02-09 10:29:48,2018-02-09 10:29:49,True,2018-02-09 10:29:48,cazfletch,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/144,https://github.com/hyperledger/composer-sample-networks/pull/144,nishantanshul,Master,,[],16,2018-01-31 10:31:46,2018-02-07 16:44:46,2018-02-07 16:44:46,False,,,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/141,https://github.com/hyperledger/composer-sample-networks/pull/141,andrew-coleman,convert vehicle lifecycle sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

changed promise chains to async/await, var to let/const",[],5,2018-01-04 15:34:39,2018-01-15 13:52:35,2018-01-15 13:52:48,True,2018-01-15 13:52:35,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/140,https://github.com/hyperledger/composer-sample-networks/pull/140,andrew-coleman,convert trading sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

changed promise chains to async/await except for the Promise.all code which will still operate concurrently",[],3,2018-01-04 13:39:00,2018-01-08 12:40:10,2018-01-08 12:40:10,True,2018-01-08 12:40:10,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/139,https://github.com/hyperledger/composer-sample-networks/pull/139,andrew-coleman,convert pii sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

replaced promise chains with async/await",[],2,2018-01-04 13:08:28,2018-01-07 20:03:08,2018-01-07 20:03:08,True,2018-01-07 20:03:08,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/138,https://github.com/hyperledger/composer-sample-networks/pull/138,andrew-coleman,change perishable sample to use es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

replaced promise chains with async/await",[],2,2018-01-04 11:39:40,2018-01-07 14:10:16,2018-01-07 14:10:16,True,2018-01-07 14:10:16,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/137,https://github.com/hyperledger/composer-sample-networks/pull/137,andrew-coleman,convert marbles sample to use es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

changed promise chains to async/await",[],2,2018-01-04 10:25:23,2018-01-07 11:44:55,2018-01-07 11:44:55,True,2018-01-07 11:44:55,sstone1,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/136,https://github.com/hyperledger/composer-sample-networks/pull/136,andrew-coleman,convert DigitalLandTitle sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

Replaced promise chains with async/await",[],3,2018-01-04 10:00:26,2018-01-06 21:04:36,2018-01-06 21:04:36,True,2018-01-06 21:04:36,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/135,https://github.com/hyperledger/composer-sample-networks/pull/135,andrew-coleman,convert car auction sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

Replace promise chains with async/await and tidy up code",[],3,2018-01-04 09:37:49,2018-01-07 10:24:14,2018-01-07 10:24:14,True,2018-01-07 10:24:14,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/134,https://github.com/hyperledger/composer-sample-networks/pull/134,andrew-coleman,convert bond-network sample to es7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

change promise chains to async/await",[],3,2018-01-03 16:01:11,2018-01-06 19:03:01,2018-01-06 19:03:01,True,2018-01-06 19:03:01,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/133,https://github.com/hyperledger/composer-sample-networks/pull/133,andrew-coleman,convert animaltracking sample to ES7 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

Clarifies the sample by changing promise chains into async/await calls.",[],2,2018-01-03 15:38:03,2018-01-05 09:18:53,2018-01-05 09:18:53,True,2018-01-05 09:18:53,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/132,https://github.com/hyperledger/composer-sample-networks/pull/132,andrew-coleman,Convert basic-sample-network to ES7/8 syntax,"Signed-off-by: andrew-coleman <andrew_coleman@uk.ibm.com>

Clarifies the sample by changing promise chains into async/await calls.",[],2,2018-01-03 14:30:49,2018-01-03 16:20:52,2018-01-03 16:20:52,True,2018-01-03 16:20:52,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/131,https://github.com/hyperledger/composer-sample-networks/pull/131,andrew-coleman,Convert basic-sample-network to ES7/8 syntax,Clarifies the sample by changing promise chains into async/await calls. ,[],7,2018-01-03 14:14:58,2018-01-03 14:16:30,2018-01-03 14:16:30,False,,,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/130,https://github.com/hyperledger/composer-sample-networks/pull/130,sstone1,Bump supported Composer version to v0.17.x,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],2,2018-01-02 08:28:06,2018-01-02 09:09:17,2018-01-02 09:09:17,True,2018-01-02 09:09:17,fabric-composer-app,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/129,https://github.com/hyperledger/composer-sample-networks/pull/129,sstone1,Bump sample networks to v0.2.0,Signed-off-by: Simon Stone <sstone1@uk.ibm.com>,['sstone1'],1,2018-01-02 08:18:58,2018-01-02 08:22:41,2018-01-02 08:22:41,True,2018-01-02 08:22:41,fabric-composer-app,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/128,https://github.com/hyperledger/composer-sample-networks/pull/128,sstone1,"Use pukka v0.16.x releases, not pre-releases","The sample networks use `0.16.0-0` for all Composer dependencies, which means that they might pull down a v0.16.x pre-release build rather than v0.16.2. Also .gitignore the package-lock.json files.",['sstone1'],1,2017-12-29 11:39:31,2017-12-29 20:11:49,2017-12-29 20:17:14,True,2017-12-29 20:11:49,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/127,https://github.com/hyperledger/composer-sample-networks/pull/127,mbwhite,back-off to the v0.16.0 composer support,Signed-off-by: Matthew B White <whitemat@uk.ibm.com>,[],1,2017-12-21 12:08:23,2017-12-21 12:27:15,2017-12-27 09:22:50,True,2017-12-21 12:27:14,davidkel,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/126,https://github.com/hyperledger/composer-sample-networks/pull/126,hannahrayner,updated-network-icons,"Changed network images and animations for the following:

pii-network
car-auction-network
vehicle-lifecycle-network
perishable-network
trade-network

All should now be updated on sample network screen. ",[],7,2017-12-21 10:55:25,2017-12-21 14:06:07,2017-12-21 14:06:07,True,2017-12-21 14:06:07,winslet,unknown,,closed
composer-sample-networks,https://api.github.com/repos/hyperledger/composer-sample-networks/pulls/125,https://github.com/hyperledger/composer-sample-networks/pull/125,sstone1,Fix to v0.16.0,,['sstone1'],1,2017-11-28 17:46:07,2017-11-28 17:50:08,2017-11-28 17:50:13,True,2017-11-28 17:50:08,cazfletch,unknown,,closed
