name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/40,https://github.com/hyperledger/sawtooth-website/pull/40,rbuysse,Add sdk docs to the website,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-04-03 20:45:42,,2019-04-03 22:48:44,False,,,clean,True,open
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/39,https://github.com/hyperledger/sawtooth-website/pull/39,Sutrannu,Make lists conform to the standard style,"By default, list-lines and wrapped-list-lines are indented equally.
The theme in use eliminates all padding, including the indentation
of lists. This applies default padding and settings to lists. BIP-380

Signed-off-by: Sutrannu <bbetts@bitwise.io>",['chenette'],1,2019-03-22 19:04:01,2019-03-22 19:33:43,2019-03-22 19:33:44,True,2019-03-22 19:33:43,chenette,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/38,https://github.com/hyperledger/sawtooth-website/pull/38,ltseeley,Update PBFT and Raft info,"Updates the values of the algorithm name and version settings for the
PBFT and Raft consensus engines to match the new values from the
corresponding PRs against the engine repos
(hyperledger/sawtooth-pbft#118,
hyperledger/sawtooth-raft#59)

Also updates FAQs to match status of PBFT.",['agunde406'],2,2019-03-21 14:51:07,2019-03-22 18:38:22,2019-03-22 18:38:22,True,2019-03-22 18:38:22,agunde406,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/37,https://github.com/hyperledger/sawtooth-website/pull/37,Sutrannu,Update ruby-image version for compatibility,Signed-off-by: Sutrannu <bbetts@bitwise.io>,['rbuysse'],1,2019-03-04 16:54:53,2019-03-04 17:16:14,2019-03-04 17:16:14,True,2019-03-04 17:16:14,rbuysse,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/36,https://github.com/hyperledger/sawtooth-website/pull/36,Sutrannu,Add python SDK docs to the list of nightlies,"Docs will be included, but not linked yet.

Signed-off-by: Sutrannu <bbetts@bitwise.io>",[],1,2019-02-27 21:09:41,2019-02-28 14:51:21,2019-02-28 14:51:21,True,2019-02-28 14:51:21,rbuysse,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/35,https://github.com/hyperledger/sawtooth-website/pull/35,danintel,Add Instructions for Network Binding,"Bind to 0.0.0.0 or network IP address, instead of 127.0.0.1.

Also fix syntax error (title underline too short).

Signed-off-by: danintel <daniel.anderson@intel.com>",['danintel'],2,2019-02-26 16:14:41,2019-03-12 17:09:47,2019-03-12 17:09:47,True,2019-03-12 17:09:47,danintel,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/34,https://github.com/hyperledger/sawtooth-website/pull/34,danintel,Add Sawtooth Application Development Video,"* Add Sawtooth SimpleWallet Application Development Video to Video list.

Signed-off-by: danintel <daniel.anderson@intel.com>",['danintel'],1,2019-02-20 18:48:22,2019-02-21 17:27:32,2019-02-21 17:28:51,True,2019-02-21 17:27:32,danintel,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/33,https://github.com/hyperledger/sawtooth-website/pull/33,Sutrannu,Update Docs index with release 1.1.4 link,Signed-off-by: Sutrannu <bbetts@bitwise.io>,['rberg2'],1,2019-02-14 18:27:48,2019-02-14 20:51:19,2019-02-14 20:51:19,True,2019-02-14 20:51:19,rberg2,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/32,https://github.com/hyperledger/sawtooth-website/pull/32,Sutrannu,Update Docs index with release 1.1.3 link,Signed-off-by: Sutrannu <bbetts@bitwise.io>,['rbuysse'],1,2019-02-07 18:22:06,2019-02-07 20:29:15,2019-02-07 20:29:15,True,2019-02-07 20:29:15,rbuysse,unknown,,closed
sawtooth-website,https://api.github.com/repos/hyperledger/sawtooth-website/pulls/31,https://github.com/hyperledger/sawtooth-website/pull/31,rbuysse,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-02-07 16:36:03,2019-02-09 04:39:59,2019-02-09 04:39:59,True,2019-02-09 04:39:59,rbuysse,unknown,,closed
