name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/16,https://github.com/kubernetes/sig-release/pull/16,mbssaiakhil,Fix Typos in SIG Release,,[],1,2017-08-13 11:15:36,2017-08-21 16:41:25,2017-08-21 16:41:25,True,2017-08-21 16:41:25,jdumars,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/21,https://github.com/kubernetes/sig-release/pull/21,jpbetz,"Highlight ""base:release-1.6"" style github search in patch manager guide",,['enisoc'],1,2017-10-17 21:41:20,2018-01-08 20:17:18,2019-02-11 21:36:27,False,,,dirty,False,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/28,https://github.com/kubernetes/sig-release/pull/28,spiffxp,What am I doing right now as CI signal lead,"This could be worded / structured better but I want it to live someplace more ""real"" than [a PR comment](https://github.com/kubernetes/test-infra/pull/5306#issuecomment-341277823)

/cc @detiber 
you're secondary

/cc @enisoc 
you're the release lead, does this sound right

/cc @ericchiang 
you did this last time, what am I missing",['enisoc'],1,2017-11-03 19:47:48,2017-11-06 22:26:09,2017-11-07 00:34:59,True,2017-11-06 22:26:09,enisoc,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/35,https://github.com/kubernetes/sig-release/pull/35,spiffxp,Flesh out CI Signal responsibilities during code freeze,"FYI @ericchiang @krzyzacy @enisoc 

Am I missing any dashboards or habits here? e.g.: I'm specifically planning on ignoring:
- https://k8s-testgrid.appspot.com/sig-release-master-kubectl-skew
- https://k8s-testgrid.appspot.com/sig-release-master-upgrade-optional

I might occasionally look at the -all dashboard, but I'm not planning on tracking it per se.

In an ideal world I'd just have one dashboard to look at for the release, rather than flipping between two.  It's also confusing to me that there aren't upgrade dashboards for a given release.",['enisoc'],1,2017-11-20 21:07:31,2017-11-27 22:32:29,2017-11-27 23:30:24,True,2017-11-27 22:32:29,enisoc,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/42,https://github.com/kubernetes/sig-release/pull/42,spiffxp,Add release-managers.md,Get this out of kubernetes/community.wiki in service of kubernetes/community#116,[],2,2017-12-15 01:55:31,2017-12-15 17:26:34,2017-12-15 17:28:47,True,2017-12-15 17:26:34,jdumars,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/45,https://github.com/kubernetes/sig-release/pull/45,tpepper,update versioning link,"The versioning.md file's moved from k/k to community.  As it stands the
README here in sig-release gives a 404 for the old url referenced.  This
commit brings the link up to date.

Signed-off-by: Tim Pepper <tpepper@vmware.com>",['idvoretskyi'],1,2017-12-16 02:09:23,2017-12-19 22:19:45,2017-12-19 22:19:46,True,2017-12-19 22:19:45,idvoretskyi,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/46,https://github.com/kubernetes/sig-release/pull/46,idvoretskyi,Release info added from the features repo,"Kubernetes 1.3-1.9 releases info moved from the https://github.com/kubernetes/features repo (existing release-1.* directories from the features repo will be removed after this PR will be merged).

FYI @pwittrock @calebamiles @grodrigues3 @spiffxp @jdumars ",['stp-ip'],2,2017-12-18 14:11:53,2017-12-18 16:34:35,2017-12-18 16:34:35,True,2017-12-18 16:34:35,k8s-ci-robot,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/47,https://github.com/kubernetes/sig-release/pull/47,spiffxp,Add root OWNERS file to sig-release,"This is in service of kubernetes/sig-release#44

See individual commits for details",['idvoretskyi'],2,2017-12-18 15:40:31,2017-12-18 16:01:01,2017-12-18 16:25:20,True,2017-12-18 16:01:01,idvoretskyi,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/48,https://github.com/kubernetes/sig-release/pull/48,spiffxp,Refresh ephemera/ files,"They were originally copied from kubernetes/community/contributors/devel/release and then never tombstoned or deprecated over there, so they caught updates.

If this repo makes sense as the authoritative source for this content, I'd like to tombstone the copies in kubernetes/community to point to here.

I also thought @enisoc's patch manager playbook was useful so moved it someplace more permanent sounding.",['idvoretskyi'],3,2017-12-18 17:20:45,2017-12-18 18:13:37,2017-12-18 23:27:08,True,2017-12-18 18:13:37,k8s-ci-robot,unknown,,closed
sig-release,https://api.github.com/repos/kubernetes/sig-release/pulls/49,https://github.com/kubernetes/sig-release/pull/49,enisoc,[1.10] Release Team,"This file will be used to collect volunteers for the 1.10 [release team roles](https://github.com/kubernetes/sig-release#kubernetes-release-team-roles).

To volunteer, send a pull request to add yourself to [release-1.10/release_team.md](https://github.com/kubernetes/sig-release/blob/master/releases/release-1.10/release_team.md).

### Notes

* The overall release team lead should have experience on a previous release team. However, anyone who's interested but hasn't been on a release team before is encouraged to volunteer as a shadow.
* The Patch Manager, Branch Manager, and Test Infra roles still need to be Googlers due to technical limitations in our current test/release infrastructure.","['calebamiles', 'jdumars']",1,2017-12-18 23:29:59,2017-12-19 17:12:25,2018-01-04 19:51:00,True,2017-12-19 17:12:25,calebamiles,unknown,,closed
