name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/14,https://api.github.com/repos/hyperledger/grid-website/issues/14,Rewrite About page for grid-website,"- Expand Grid description to clarify goal of a cross-industry tool set
  Note: Some content is derived from the Hyperledger Grid project page at
  https://www.hyperledger.org/projects/grid

- Add image from Grid proposal

- Add details of component types, with examples (mention GS1, Grid Track and Trace, Pike, and the grid CLI)

- Add ""How to participate"" paragraph with link to more info in the FAQ (in a separate PR)

- Add ""Source code"" with summary of grid, grid-contrib, and grid-rfcs repos

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2019-03-26 15:08:03,2019-03-28 15:12:40
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/13,https://api.github.com/repos/hyperledger/grid-website/issues/13,Update home page for grid-website,"- Move ""Hyperledger Grid"" title to banner image

- Rewrite content: Update the high-level overview; add ""open source""
  and ""we welcome contributors"" blurbs

- Add links to other website pages, the grid repo, and ""Grid in the news""
  (the hyperledger-grid category on hyperledger.org)

Other information (from the previous home page) will move to the About page
in a separate PR.

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2019-03-22 20:35:59,2019-03-27 21:35:34
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/12,https://api.github.com/repos/hyperledger/grid-website/issues/12,"Reformat, rewrite, and expand FAQ for grid-website","- Fix FAQ presentation, organization, and usability
  - Add direct links to questions from main page
  - Retitle and reorganize the general page
  - Remove mini-nav buttons:
    (a) There's only one FAQ page right now
    (b) ""Next"" and ""Previous"" are not meaningful in a FAQ
    Will handle nav differently if the FAQ ever gets too large.

- Rewrite ""What is Hyperledger Grid"" to match new overview on home page (in a separate PR)

- Add more FAQ questions/answers

- Rewrite ""Contributing to this FAQ"" for clarity

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2019-03-21 23:56:25,2019-03-28 15:47:22
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/11,https://api.github.com/repos/hyperledger/grid-website/issues/11,Update Community pages for Grid website,"Community:
- Add a high-level summary of Grid ""areas"" for which we encourage feedback
- Expand each link's text for friendliness and clarity

Code of Conduct:
- Correct link to Hyperledger's code of contact page (it moved)
- Also fix grammar in the first sentence

Contributing:
- Add entry for grid-contrib under ""Ways you can contribute""
- Make minor wording changes and link fixes for clarity and friendliness
- Fix document structure (add Header markup)

Joining the Discussion:
 - Add info about a Linux Foundation ID
- Reword for friendliness
- Remove headers (they take up too much space)
- Fix blockquote format issue",closed,True,2019-03-21 21:33:07,2019-03-27 21:35:43
grid-website,Sutrannu,https://github.com/hyperledger/grid-website/pull/10,https://api.github.com/repos/hyperledger/grid-website/issues/10,Make lists conform to the standard style,"By default, list-lines and wrapped-list-lines are indented equally.
The theme in use eliminates all padding, including the indentation
of lists. This applies default padding and settings to lists. BIP-379

Signed-off-by: Sutrannu <bbetts@bitwise.io>",closed,True,2019-03-21 19:52:44,2019-03-22 15:08:57
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/9,https://api.github.com/repos/hyperledger/grid-website/issues/9,Update and expand Docs page on Grid website,"- Add intro text

- Clarify ""nightly master"" for non-developers

- Add note on incubation status and frequent doc changes

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2019-03-20 22:18:38,2019-03-27 21:35:53
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/8,https://api.github.com/repos/hyperledger/grid-website/issues/8,Change twitter link to point to Grid tweets,Signed-off-by: Anne Chenette <chenette@bitwise.io>,closed,True,2019-03-13 22:58:01,2019-03-14 15:28:22
grid-website,Sutrannu,https://github.com/hyperledger/grid-website/pull/7,https://api.github.com/repos/hyperledger/grid-website/issues/7,Do not make unnecessary symlink,Signed-off-by: Sutrannu <bbetts@bitwise.io>,closed,True,2019-03-11 16:24:19,2019-03-12 15:31:57
grid-website,Sutrannu,https://github.com/hyperledger/grid-website/pull/6,https://api.github.com/repos/hyperledger/grid-website/issues/6,Update Jenkins paths,"The URL paths in Jenkins are significantly different from the various
Sawtooth projects.

Signed-off-by: Sutrannu <bbetts@bitwise.io>",closed,True,2019-03-08 18:00:03,2019-03-08 18:24:00
grid-website,chenette,https://github.com/hyperledger/grid-website/pull/5,https://api.github.com/repos/hyperledger/grid-website/issues/5,Expand and improve grid-website README,"- Add repo description with link to grid.hyperledger.org
- Retitle sections
- Clarify build procedure, number steps, and turn linter info into note
- Correct and clarify info about website content
- Fix license wording and add links

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2019-03-05 16:30:12,2019-03-12 19:41:48
