name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/78,https://github.com/hyperledger/sawtooth-supply-chain/pull/78,fcooper98,Update .env,,[],1,2019-03-05 07:21:12,,2019-03-05 07:21:13,False,,,blocked,True,open
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/77,https://github.com/hyperledger/sawtooth-supply-chain/pull/77,IgorKroop,ERROR: Service 'shell' failed to build: manifest for hyperledger/sawtooth-shell:nightly not found,,[],1,2019-02-26 08:57:00,,2019-03-05 07:15:22,False,,,blocked,True,open
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/76,https://github.com/hyperledger/sawtooth-supply-chain/pull/76,agunde406,Update Supply Chain to use sawtooth-sdk = 0.2,Signed-off-by: Andrea Gunderson <agunde@bitwise.io>,['agunde406'],1,2019-02-20 16:50:09,2019-02-21 21:21:56,2019-02-21 21:21:56,True,2019-02-21 21:21:56,agunde406,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/75,https://github.com/hyperledger/sawtooth-supply-chain/pull/75,rbuysse,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-02-07 16:35:49,2019-02-09 04:40:08,2019-02-09 04:40:08,True,2019-02-09 04:40:08,rbuysse,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/74,https://github.com/hyperledger/sawtooth-supply-chain/pull/74,rranjan3,Bugfixes on fish and asset client,"1.)Fix multi select meant to select properties while creating reporter proposal
2.)Double check that property list is not empty in a proposal for Reporter role",['agunde406'],2,2019-02-03 18:18:31,,2019-03-22 19:56:37,False,,,blocked,True,open
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/73,https://github.com/hyperledger/sawtooth-supply-chain/pull/73,rbuysse,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-01-22 22:35:28,2019-01-23 01:13:50,2019-01-23 01:13:50,True,2019-01-23 01:13:50,rbuysse,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/72,https://github.com/hyperledger/sawtooth-supply-chain/pull/72,rbuysse,Unpin Sphinx version,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-01-21 21:36:08,2019-01-22 22:37:59,2019-01-22 22:37:59,True,2019-01-22 22:37:59,rbuysse,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/71,https://github.com/hyperledger/sawtooth-supply-chain/pull/71,rbuysse,071 bionic upgrade,,['rbuysse'],5,2018-12-06 19:10:36,2018-12-12 19:33:12,2018-12-12 19:33:12,True,2018-12-12 19:33:12,rbuysse,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/70,https://github.com/hyperledger/sawtooth-supply-chain/pull/70,rbuysse,Update compose file for bumper release,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2018-12-05 20:07:53,2018-12-05 22:02:46,2018-12-05 22:02:46,True,2018-12-05 22:02:46,rbuysse,unknown,,closed
sawtooth-supply-chain,https://api.github.com/repos/hyperledger/sawtooth-supply-chain/pulls/69,https://github.com/hyperledger/sawtooth-supply-chain/pull/69,rbuysse,Update Cargo.toml to use crates for sdk and zmq,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2018-11-09 21:10:54,2018-11-12 15:52:15,2018-11-12 15:52:15,True,2018-11-12 15:52:15,rbuysse,unknown,,closed
