name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/1,https://github.com/kubernetes/sample-apiserver/pull/1,pwittrock,GCP client auth support,,[],2,2017-02-18 01:01:12,2017-05-01 17:47:02,2017-05-01 17:47:02,False,,,dirty,False,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/2,https://github.com/kubernetes/sample-apiserver/pull/2,caesarxuchao,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",[],12,2017-03-18 20:06:18,2017-03-20 20:09:21,2017-03-20 20:09:21,True,2017-03-20 20:09:21,deads2k,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/3,https://github.com/kubernetes/sample-apiserver/pull/3,caesarxuchao,Round2: Generated by scripts,"Last round of PRs failed to update vendor/. This one fixed it.

kube-aggregator is not a library, so this PR also adds the k8s.io/* back to the vendor/

@deads2k @sttts 

PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",[],2,2017-03-20 22:21:45,2017-03-21 21:10:21,2017-03-21 21:10:22,True,2017-03-21 21:10:21,deads2k,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/4,https://github.com/kubernetes/sample-apiserver/pull/4,caesarxuchao,[Do Not Merge] release-1.6,"Generated by bot.

The release-3.0 of client-go, and release-1.6 branches of apimachinery, apiserver, kube-aggregator, and sample-apiserver are tracking relesae-1.6 of kubernetes. These branches might depend on each other, but not on commit in the master branch.

The PR batch:
https://github.com/kubernetes/sample-apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/6
https://github.com/kubernetes/apiserver/pull/6
https://github.com/kubernetes/client-go/pull/160
no change to the release 1.6 branch of apimachinery

cc @deads2k @sttts ",[],1,2017-03-30 03:07:22,2017-03-31 17:58:36,2017-03-31 17:58:36,False,,,dirty,False,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/10,https://github.com/kubernetes/sample-apiserver/pull/10,maleck13,add a walkthrough for setting up and trying the server on minikube,"This PR addresses issue https://github.com/kubernetes/sample-apiserver/issues/8
",['sttts'],3,2017-09-10 10:24:40,2017-10-04 13:41:24,2017-10-04 13:41:24,True,2017-10-04 13:41:24,sttts,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/11,https://github.com/kubernetes/sample-apiserver/pull/11,fabiand,Add namespace manifest,By default the wardle namespace does not exist. This patch adds a wardle namespace manifest.,[],1,2017-09-14 19:22:33,2017-10-16 08:51:39,2017-10-16 08:51:40,False,,,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/13,https://github.com/kubernetes/sample-apiserver/pull/13,kairen,[doc] Add more details in Minikube walkthrough,Add more details to to help developers clearly modify which file.,[],2,2017-10-06 09:01:27,2017-10-16 19:22:58,2017-10-16 19:22:58,True,2017-10-16 19:22:58,sttts,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/16,https://github.com/kubernetes/sample-apiserver/pull/16,nikhita,Remove README and LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

/cc @sttts ",[],1,2017-10-23 11:36:01,2017-10-25 19:17:58,2017-10-25 19:17:58,True,2017-10-25 19:17:58,sttts,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/17,https://github.com/kubernetes/sample-apiserver/pull/17,nikhita,sample-apiserver: remove docs,"For https://github.com/kubernetes/kubernetes/issues/54398.
Counter-part PR: https://github.com/kubernetes/kubernetes/pull/54582

cc @sttts ",[],1,2017-10-25 19:28:06,2017-10-25 19:36:47,2017-12-18 12:21:32,True,2017-10-25 19:36:47,sttts,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/18,https://github.com/kubernetes/sample-apiserver/pull/18,spiffxp,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",[],1,2017-12-20 18:40:01,2017-12-20 19:55:35,2017-12-20 20:19:07,False,,,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/19,https://github.com/kubernetes/sample-apiserver/pull/19,sttts,Remove .gitignore,This is not in the k/k staging dir. Part of https://github.com/kubernetes/kubernetes/issues/57559.,['spiffxp'],1,2017-12-22 21:59:59,2017-12-22 22:17:38,2017-12-22 22:17:45,True,2017-12-22 22:17:38,sttts,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/20,https://github.com/kubernetes/sample-apiserver/pull/20,erictune,Update README.md,"Mention CRDs as option.
Link to CRD vs Aggr. docs.
Mention apiserver-builder as alternative.

Sorry, we do not accept changes directly against this repository. Please see 
CONTRIBUTING.md for information on where and how to contribute instead.
","['pwittrock', 'nikhita']",1,2018-02-14 19:26:55,2018-02-26 20:29:44,2018-02-26 20:29:44,False,,,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/21,https://github.com/kubernetes/sample-apiserver/pull/21,ychen-atlassian,ValidatingAdmissionWebhook issue demonstration,"Steps:

1. Start up sample-apiserver with the provided rc.yaml. yiyangc91/kube-sample-apiserver:latest points to the a build of sample-apiserver but you are free to build your own in case you don't want to spawn random docker images
2. Create the `artifacts/example/webhookconfig.yaml`. This doesn't reference any real webhook but the failPolicy is set to ""Fail"", so no ""Flunders"" should be able to be created.
3. Create a flunder by running `kubectl create -f artifacts/flunders/01-flunder.yaml`

Without installing the admissioninstall packages in `pkg/apiserver/apiserver.go` (try to remove it), when we try to use ValidatingAdmissionWebhook, we get this error:

```
Error from server (InternalError): error when creating ""artifacts/flunders/01-flunder.yaml"": Internal error occurred: failed calling admission webhook ""warbles.k8s.io"": no kind is registered for the type v1beta1.AdmissionReview
```

After installing we get a better message:

```
Error from server (InternalError): error when creating ""artifacts/flunders/01-flunder.yaml"": Internal error occurred: failed calling admission webhook ""warbles.k8s.io"": Post https://192.168.64.1:8080/externalid: dial tcp 192.168.64.1:8080: getsockopt: connection refused
```

(This is the failPolicy taking effect)

This issue seems to be specific to the ValidatingAdmissionWebhook and the MutatingAdmissionWebhook. All other admission controllers probably work?

Docker images:

- yiyangc91/kube-sample-apiserver (sha256:70a1bb48ec3b2d275e1405f3530d0a91bb161e7f1c91aa88eb241cc5fb87eaf3) - the working version
- yiyangc91/kube-sample-apiserver:broken (sha256:7d955e2db6177f66f5d8d5e04a2b3de4d04e47d3230e83e3a4b5f5b547eb67d3) - the broken version",[],5,2018-03-09 05:37:26,2018-03-12 14:02:28,2018-03-12 14:02:28,False,,,unknown,,closed
sample-apiserver,https://api.github.com/repos/kubernetes/sample-apiserver/pulls/33,https://github.com/kubernetes/sample-apiserver/pull/33,joelsmith,Update embargo doc link in SECURITY_CONTACTS and change PST to PSC,See https://github.com/kubernetes/security/issues/8 for more information,['cheftako'],1,2019-03-08 18:13:45,2019-03-09 01:23:11,2019-03-09 01:23:12,False,,,unknown,,closed
