name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sawtooth-sabre,rberg2,https://github.com/hyperledger/sawtooth-sabre/pull/48,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/48,Jenkinsfile 0-1 branch updates.,,closed,True,2019-04-03 14:18:38,2019-04-03 15:39:21
sawtooth-sabre,agunde406,https://github.com/hyperledger/sawtooth-sabre/pull/47,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/47,BACKPORT: Add Missing Isolation ID to docker compose files,"This will fix an issue with colliding images when
running the build in Jenkins.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",closed,True,2019-04-03 14:04:44,2019-04-03 16:49:38
sawtooth-sabre,agunde406,https://github.com/hyperledger/sawtooth-sabre/pull/46,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/46,Add Missing Isolation ID to docker compose files,"This will fix an issue with colliding images when
running the build in Jenkins.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",closed,True,2019-04-03 13:27:00,2019-04-03 14:02:23
sawtooth-sabre,agunde406,https://github.com/hyperledger/sawtooth-sabre/pull/45,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/45,Increase Sabre version to 0.2,"Sabre is going to be updated to work with the
newer version of the Sawtooth Rust SDK. As such
the version needs to be increased because it will
no longer be compatible with 0.1 version of Sabre.

Signed-off-by: Andrea Gunderson <agunde@bitwise.io>",closed,True,2019-04-02 19:53:02,2019-04-03 17:16:45
sawtooth-sabre,agunde406,https://github.com/hyperledger/sawtooth-sabre/pull/44,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/44,Run cargo fmt on sabre sdk,,closed,True,2019-04-02 18:21:44,2019-04-02 19:06:04
sawtooth-sabre,rberg2,https://github.com/hyperledger/sawtooth-sabre/pull/43,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/43,add COMPOSE_PROJECT_NAME to Jenkinsfile,"This variable prevents naming collisions in containers created by
docker-compose. This variable was missing from the Jenkinsfile rewrite.

Signed-off-by: Richard Berg <rberg@bitwise.io>",closed,True,2019-03-28 19:08:37,2019-04-02 19:30:53
sawtooth-sabre,rberg2,https://github.com/hyperledger/sawtooth-sabre/pull/42,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/42,Declarative Jenkinsfile rewrite.,Signed-off-by: Richard Berg <rberg@bitwise.io>,closed,True,2019-03-21 16:36:09,2019-03-27 05:05:39
sawtooth-sabre,scealiontach,https://github.com/hyperledger/sawtooth-sabre/pull/41,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/41,Add an apt-get upgrade to address a series of High risk CVE's discovered.,"Running Anchore scans versus the installed docker images turned up some high risk vulnerabilities.  This will usually prevent the images being deployed in any highly locked down environments. 

Signed-off-by: Kevin O'Donnell <kodonnel@gmail.com>",open,True,2019-02-26 14:06:01,2019-02-27 15:15:00
sawtooth-sabre,agunde406,https://github.com/hyperledger/sawtooth-sabre/pull/40,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/40,Update Sabre to use Sawtooth Rust SDK 0.2,,closed,True,2019-02-20 16:35:46,2019-02-21 21:26:05
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/39,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/39,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-02-07 16:33:46,2019-02-11 17:45:32
sawtooth-sabre,rberg2,https://github.com/hyperledger/sawtooth-sabre/pull/38,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/38,Update Jenkinsfile to schedule a build at 3AM CST,Signed-off-by: Richard Berg <rberg@bitwise.io>,closed,True,2019-01-23 21:53:04,2019-01-24 19:59:48
sawtooth-sabre,rranjan3,https://github.com/hyperledger/sawtooth-sabre/pull/37,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/37,Documentation typo fix,"1) Minor typo fix in Sabre Transaction Family
2) Sphinx warnings fix

Signed-off-by: Rajeev Ranjan <rajeev2.ranjan@intel.com>",closed,True,2019-01-23 08:48:58,2019-01-30 20:16:16
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/36,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/36,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-01-22 22:19:07,2019-02-04 18:30:43
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/35,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/35,Unpin Sphinx version,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-01-21 20:19:25,2019-01-22 22:37:29
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/34,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/34,045 bionic upgrade,,closed,True,2018-12-06 19:29:57,2019-03-14 21:10:32
sawtooth-sabre,chenette,https://github.com/hyperledger/sawtooth-sabre/pull/33,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/33,Add macro_use to main.rs example in App Dev Guide,"Change for ""Converting a Transaction Processor to a Smart Contract"".

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2018-11-20 21:57:37,2018-11-26 21:45:50
sawtooth-sabre,chenette,https://github.com/hyperledger/sawtooth-sabre/pull/32,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/32,Fix Sabre typo,Signed-off-by: Anne Chenette <chenette@bitwise.io>,closed,True,2018-11-20 21:52:32,2018-11-26 21:45:36
sawtooth-sabre,chenette,https://github.com/hyperledger/sawtooth-sabre/pull/31,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/31,Update Running a Sabre Smart Contract doc,"Rewrite to expand, clarify, update, edit, and format information. Changes include:

- Rewrite throughout to clarify information, make consistent with procedures in
  the Sawtooth core docs, and format as a procedure

- Add introduction and prerequisites sections

- Summarize what the Docker Compose files do (describe containers, key generation,
  Sawtooth administrator setting, and volume setup/key sharing between containers)

- Consistently show which container is used for each step

- Clarify that ""sabre upload"" uploads a contract definition file (not a
  contract) and that ""sabre ns"" creates a namespace registry (not a namespace)

- Update the example contract definition file, with explanations of the Sabre
  and Pike namespaces (in source but not shown in the previous doc)

- Delete hard-coded, out-of-date CLI help; replace with info on running the
  command with the --help option

- Summarize what items must be in place before running ""sabre exec""

- Add final step to shut down the Sawtooth Sabre environment

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2018-11-20 21:42:04,2018-11-26 21:45:02
sawtooth-sabre,rberg2,https://github.com/hyperledger/sawtooth-sabre/pull/30,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/30,Update dockerfiles to use bumper/stable apt repo,Signed-off-by: Richard Berg <rberg@bitwise.io>,closed,True,2018-11-13 20:46:24,2018-11-13 21:37:08
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/29,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/29,Update Cargo.toml files to use crates for sdk and zmq,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2018-11-09 21:17:26,2018-11-12 19:52:44
sawtooth-sabre,RyanLassigBanks,https://github.com/hyperledger/sawtooth-sabre/pull/28,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/28,Move Smart Permission documentation to sabre,Signed-off-by: Ryan Banks <rbanks@bitwise.io>,closed,True,2018-11-08 19:01:25,2018-11-08 19:45:47
sawtooth-sabre,RyanLassigBanks,https://github.com/hyperledger/sawtooth-sabre/pull/27,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/27,Remove Duplicate sp Command,,closed,True,2018-11-08 14:35:00,2018-11-08 19:01:50
sawtooth-sabre,chenette,https://github.com/hyperledger/sawtooth-sabre/pull/26,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/26,Fix DeleteContractRegistryAction inputs/outputs,"Corrected the Sabre Transaction Family documentation:
sawtooth.swa.administrators is an input (not output).

Signed-off-by: Anne Chenette <chenette@bitwise.io>",closed,True,2018-11-05 17:20:21,2018-11-21 16:34:56
sawtooth-sabre,rbuysse,https://github.com/hyperledger/sawtooth-sabre/pull/25,https://api.github.com/repos/hyperledger/sawtooth-sabre/issues/25, 037 bumper updates,,closed,True,2018-10-31 21:15:40,2018-11-09 20:37:54
