name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1231,https://github.com/hyperledger/indy-node/pull/1231,andkononykhin,bump plenum 1.7.0.dev744,,[],1,2019-04-03 10:30:19,2019-04-03 11:22:42,2019-04-03 15:30:20,True,2019-04-03 11:22:42,ashcherbakov,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1230,https://github.com/hyperledger/indy-node/pull/1230,skhoroshavin,Bump plenum version,Signed-off-by: Sergey Khoroshavin <sergey.khoroshavin@dsr-corporation.com>,[],1,2019-04-02 14:59:27,2019-04-02 15:38:04,2019-04-02 15:38:19,True,2019-04-02 15:38:04,andkononykhin,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1229,https://github.com/hyperledger/indy-node/pull/1229,ArtObr,INDY-1946: Test fix,Signed-off-by: ArtObr <artemobruchnikov@gmail.com>,[],1,2019-04-02 09:19:28,2019-04-04 07:51:17,2019-04-04 07:51:17,True,2019-04-04 07:51:17,ashcherbakov,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1228,https://github.com/hyperledger/indy-node/pull/1228,skhoroshavin,Bump plenum version,Signed-off-by: Sergey Khoroshavin <sergey.khoroshavin@dsr-corporation.com>,[],3,2019-04-01 14:12:20,2019-04-01 18:00:35,2019-04-02 08:45:25,True,2019-04-01 18:00:35,ashcherbakov,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1227,https://github.com/hyperledger/indy-node/pull/1227,sovbot,release 1.7.0,release 1.7.0,[],367,2019-03-29 16:27:41,2019-04-02 11:04:04,2019-04-02 11:04:04,False,,,blocked,True,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1226,https://github.com/hyperledger/indy-node/pull/1226,andkononykhin,Rc 1.7.0rc1,,[],365,2019-03-29 15:26:35,2019-03-29 15:59:24,2019-03-29 15:59:24,True,2019-03-29 15:59:24,andkononykhin,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1225,https://github.com/hyperledger/indy-node/pull/1225,andkononykhin,[INDY-2019] minor docs update,,[],1,2019-03-29 05:01:26,2019-03-29 13:10:28,2019-03-29 13:10:28,True,2019-03-29 13:10:28,ashcherbakov,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1224,https://github.com/hyperledger/indy-node/pull/1224,andkononykhin,Sets specific version of indy-sdk for client environment in system tests,The same one as for node pool,[],1,2019-03-28 12:37:53,2019-03-28 16:03:01,2019-03-29 04:43:33,True,2019-03-28 16:03:01,andkononykhin,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1223,https://github.com/hyperledger/indy-node/pull/1223,andkononykhin,[INDY-2019][INDY-1992] activate new release logic,,[],19,2019-03-27 10:04:17,2019-03-28 09:13:51,2019-03-28 12:14:21,True,2019-03-28 09:13:51,andkononykhin,unknown,,closed
indy-node,https://api.github.com/repos/hyperledger/indy-node/pulls/1222,https://github.com/hyperledger/indy-node/pull/1222,andkononykhin,[INDY-1992] Fix for dev packages PyPI publishing,,[],1,2019-03-27 04:57:59,2019-03-27 08:49:49,2019-03-27 09:22:43,False,,,unknown,,closed
