name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sawtooth-raft,rberg2,https://github.com/hyperledger/sawtooth-raft/pull/66,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/66, Add COMPOSE_PROJECT_NAME to Jenkinsfile,"This variable prevents naming collisions in containers created by
docker-compose. This variable was missing from the Jenkinsfile rewrite.

Signed-off-by: Richard Berg <rberg@bitwise.io>",closed,True,2019-03-28 19:09:55,2019-04-02 17:39:15
sawtooth-raft,pankajgoyal2,https://github.com/hyperledger/sawtooth-raft/pull/65,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/65,Added compose file to setup multinode Raft network on different physi…,"…cal machines.

Signed-off-by: Pankaj Goyal <pankaj.goyal@intel.com>",open,True,2019-03-28 00:51:08,2019-04-02 05:22:07
sawtooth-raft,pankajgoyal2,https://github.com/hyperledger/sawtooth-raft/pull/64,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/64,Disable Debug Symbols when raft library is build in release mode,Signed-off-by: Pankaj Goyal <pankaj.goyal@intel.com>,open,True,2019-03-28 00:50:16,2019-04-02 05:17:50
sawtooth-raft,manojgop,https://github.com/hyperledger/sawtooth-raft/pull/63,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/63,Bugfix: Check raft state before adding new block to block queue,"Add new block to block queue only if
1) Raft node is in leader publishing state and this is a block which leader published
2) or if raft node is a follower

Signed-off-by: Manoj Gopalakrishnan <manoj.gopalakrishnan@intel.com>",open,True,2019-03-26 09:08:10,2019-03-26 16:18:19
sawtooth-raft,rberg2,https://github.com/hyperledger/sawtooth-raft/pull/62,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/62,Declarative Jenkinsfile rewrite.,Signed-off-by: Richard Berg <rberg@bitwise.io>,closed,True,2019-03-21 18:46:23,2019-03-26 15:58:21
sawtooth-raft,manojgop,https://github.com/hyperledger/sawtooth-raft/pull/61,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/61,Fix issue during follower to leader transition in block committing state,"When follower becomes leader while it was in block committing state,
the leader has to continue in committing state until block is
fully committed

Signed-off-by: Manoj Gopalakrishnan <manoj.gopalakrishnan@intel.com>",closed,True,2019-03-20 11:35:20,2019-03-22 19:45:52
sawtooth-raft,arsulegai,https://github.com/hyperledger/sawtooth-raft/pull/60,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/60,State machine correction for sawtooth-raft,"A leader node in sawtooth-raft asks validator to commit a block
when majority of the follower nodes replicated the log entry.
However follower nodes may lose the log commit confirmation
from the leader node. Majority of the follower nodes form a
group and elect a new leader.

A log entry is safe committed as per raft if majority of the
nodes have the log stored and at least one entry from the
leaders term is also majority stored.

If majority of the nodes continue adding blocks, the old
leader has to replace the log entry. This is taken care by raft.
However block already added to the blockchain shall also get
replaced with the new one.

Order of the nodes added to blockchain is controlled by deque.

Signed-off-by: S m, Aruna <aruna.s.m@intel.com>",closed,True,2019-03-18 18:02:53,2019-03-22 19:43:41
sawtooth-raft,ltseeley,https://github.com/hyperledger/sawtooth-raft/pull/59,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/59,Update algorithm name and version,"Updates the name and version that the Raft consensus engine reports to
the validator match the conventions used in other Sawtooth projects.

Signed-off-by: Logan Seeley <seeley@bitwise.io>",closed,True,2019-03-18 16:57:16,2019-03-28 20:29:55
sawtooth-raft,arsulegai,https://github.com/hyperledger/sawtooth-raft/pull/58,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/58,Enable lint checks on sawtooth-raft,"1. Follow default warning level check for clippy.
2. Added lint checks as part of Jenkinsfile.
3. Fix clippy warnings and fmt issues in sawtooth-raft.",open,True,2019-03-17 06:17:09,2019-03-28 09:51:51
sawtooth-raft,pankajgoyal2,https://github.com/hyperledger/sawtooth-raft/pull/57,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/57,Disable debug log messages,,closed,True,2019-03-14 15:38:11,2019-03-18 10:34:14
sawtooth-raft,rbuysse,https://github.com/hyperledger/sawtooth-raft/pull/56,https://api.github.com/repos/hyperledger/sawtooth-raft/issues/56,Add nightly dockerfile,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,closed,True,2019-03-01 22:04:32,2019-03-22 19:42:33
