name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/7,https://github.com/kubernetes/client-go/pull/7,caesarxuchao,Update README.md and restructure the master branch,"- Update the README to state the new versioning mechanism of client-go, also clarify the compatibility issues.
- Add a CHANGELOG.md
- Remove the top-level folders for versions. Keep the contents of the 1.5 folder
- Removed the copy.sh and godeps-json-updater.go, they only need to exist in the main repository

TODO:
- Before merging this PR, we need to send out an announcement about the change kube-dev mailing list
- [DONE] We need to change the copy.sh (https://github.com/kubernetes/kubernetes/pull/34989) and the client-go publisher robot (https://github.com/kubernetes/contrib/pull/1895). Those work can be done in parallel

@mml @mbohlool @timoreimann could you help review it?
cc @thockin 
","['mml', 'mbohlool']",2,2016-09-28 22:10:53,2016-10-19 21:42:43,2016-10-19 21:42:43,True,2016-10-19 21:42:43,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/10,https://github.com/kubernetes/client-go/pull/10,juanvallejo,"add Timeout field to REST client (1.4, 1.5) config","Fixes test panics in k8s PR:
https://github.com/kubernetes/kubernetes/pull/33958
and OpenShift PR: https://github.com/openshift/origin/pull/11104

The linked Kubernetes PR adds a ""Timeout"" field to the rest client in
order to implement global http request timeouts for server requests.

@soltysh @fabianofranz 
",[],1,2016-10-07 22:25:16,2016-10-07 22:29:06,2016-10-07 23:46:18,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/11,https://github.com/kubernetes/client-go/pull/11,caesarxuchao,Add PR template," to instruct people to submit PRs to the main repository for now.
",['lavalamp'],1,2016-10-07 23:29:28,2016-10-07 23:47:20,2016-10-07 23:47:20,True,2016-10-07 23:47:20,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/13,https://github.com/kubernetes/client-go/pull/13,caesarxuchao,remove 1.5 folder from 1.4 branch,"@lavalmap @timoreimann I made the 1.4 branch, and remove the 1.5 folder from it. I want to keep the 1.4 folder instead of moving things out, because this way users don't need to change their import lines.

I want to make a 1.5 branch as well, because 1.5 fixed some issues in 1.4 (like the auth plugin), I think 1.5 has some users.
","['lavalamp', 'mbohlool']",1,2016-10-14 20:27:27,2016-10-17 18:10:35,2016-10-17 18:33:05,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/14,https://github.com/kubernetes/client-go/pull/14,caesarxuchao,remove 1.4 folder from 1.5 branch,"Similar to https://github.com/kubernetes/client-go/pull/13

1.5 include some patches, like included [auth plugin](https://github.com/kubernetes/kubernetes/pull/33334), [timeout field in RESTClient config](https://github.com/kubernetes/kubernetes/pull/33958), etc.

The 1.5 folder is kept so that existing users client 1.5 client-go don't need to rewrite the import path. These folders will be removed in master and future release branches.

cc @timoreimann @mbohlool
",['mbohlool'],1,2016-10-17 17:50:21,2016-10-17 18:02:12,2016-10-17 18:06:15,True,2016-10-17 18:02:12,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/15,https://github.com/kubernetes/client-go/pull/15,caesarxuchao,"Revert ""remove 1.4 folder from 1.5 branch""","Reverts kubernetes/client-go#14
",[],1,2016-10-17 18:02:46,2016-10-17 18:03:12,2016-10-17 18:03:12,True,2016-10-17 18:03:12,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/16,https://github.com/kubernetes/client-go/pull/16,caesarxuchao,remove 1.4 folder from 1.5 branch,"Recreated PR https://github.com/kubernetes/client-go/pull/14 against 1.5 branch.

cc @mbohlool 
",[],1,2016-10-17 18:06:54,2016-10-17 18:08:08,2016-10-17 18:08:08,True,2016-10-17 18:08:08,caesarxuchao,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/17,https://github.com/kubernetes/client-go/pull/17,caesarxuchao,remove 1.5 folder from 1.4 branch,"Recreated https://github.com/kubernetes/client-go/pull/13 against the 1.4 branch.

cc @mbohlool 
",[],1,2016-10-17 18:12:55,2016-10-17 18:15:22,2016-10-17 18:15:22,True,2016-10-17 18:15:22,caesarxuchao,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/22,https://github.com/kubernetes/client-go/pull/22,caesarxuchao,manually copy the fix the fake_pod_expansion.go,"Manually copy the fix in the main repository. Fix https://github.com/kubernetes/client-go/issues/21

cc @timoreimann, could you try the fix? This repo does have any testing framework set, so I'm a little nervous to merge the PR, though I had tested it locally.
",[],1,2016-10-21 17:08:47,2016-10-23 20:27:11,2016-10-23 20:27:11,True,2016-10-23 20:27:10,caesarxuchao,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/23,https://github.com/kubernetes/client-go/pull/23,caesarxuchao,Add back examples,"Examples got deleted by the publisher robot. Manually added them back.
",[],1,2016-10-21 19:33:20,2016-10-21 19:33:40,2016-10-21 19:33:40,True,2016-10-21 19:33:40,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/29,https://github.com/kubernetes/client-go/pull/29,wfarr,Thirdpartyresources examples,"Adds a basic example for registering a ThirdPartyResource and interacting with a custom Resource type.

A follow-up PR will include a controller built on the same foundations, but a simple CRUD example will be useful for folks as well.

Tested against kubernetes 1.4.5 on GKE.

attn @caesarxuchao
cc  @mkobetic @ibawt @lxfontes

<!-- Reviewable:start -->

---
This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/client-go/29)
<!-- Reviewable:end -->
",[],3,2016-11-04 19:23:55,2016-11-11 05:45:48,2016-11-14 15:53:13,True,2016-11-11 05:45:48,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/30,https://github.com/kubernetes/client-go/pull/30,wfarr,Add Informer examples,"Demonstrates a basic controller watching Pod events in a cluster.

Tested against kubernetes 1.4.5 on GKE.

attn @caesarxuchao
cc @mkobetic @ibawt @lxfontes

<!-- Reviewable:start -->

---
This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/client-go/30)
<!-- Reviewable:end -->
",['mbohlool'],7,2016-11-04 21:21:59,2017-04-13 20:53:01,2017-04-13 20:53:01,False,,,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/37,https://github.com/kubernetes/client-go/pull/37,wfarr,Follow-up for ThirdPartyResources examples,"Follow-up to https://github.com/kubernetes/client-go/pull/29: 

* f485fdd Link to ugorji issue in code comments
* bd676a6 Add a link to the TPR feature issue in comments
* 4cf2426 Switch to post-1.5 import style
* 10a1750 Don't reuse api.Scheme and api.Codecs
* 3806ead Rename examples/third-party-resources to use underscores
* d939327 Update README for third-party-resources example

I believe this should address all the feedback offered in #29

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/client-go/37)
<!-- Reviewable:end -->
",[],6,2016-11-14 15:52:29,2017-03-02 21:53:59,2017-03-02 21:53:59,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/39,https://github.com/kubernetes/client-go/pull/39,dtan4,Make example codes buildable with the latest client-go,"## WHY

Currently, examples cannot be built with master / v2.0.0-alpha version of client-go.

```
$ go build -v
main.go:24:2: cannot find package ""k8s.io/client-go/1.4/kubernetes"" in any of:
        /Users/dtan4/src/github.com/kubernetes/client-go/vendor/k8s.io/client-go/1.4/kubernetes (vendor tree)
        /usr/local/Cellar/go/1.7.3/libexec/src/k8s.io/client-go/1.4/kubernetes (from $GOROOT)
        /Users/dtan4/src/k8s.io/client-go/1.4/kubernetes (from $GOPATH)
main.go:25:2: cannot find package ""k8s.io/client-go/1.4/pkg/api"" in any of:
        /Users/dtan4/src/github.com/kubernetes/client-go/vendor/k8s.io/client-go/1.4/pkg/api (vendor tree)
        /usr/local/Cellar/go/1.7.3/libexec/src/k8s.io/client-go/1.4/pkg/api (from $GOROOT)
        /Users/dtan4/src/k8s.io/client-go/1.4/pkg/api (from $GOPATH)
main.go:26:2: cannot find package ""k8s.io/client-go/1.4/tools/clientcmd"" in any of:
        /Users/dtan4/src/github.com/kubernetes/client-go/vendor/k8s.io/client-go/1.4/tools/clientcmd (vendor tree)
        /usr/local/Cellar/go/1.7.3/libexec/src/k8s.io/client-go/1.4/tools/clientcmd (from $GOROOT)
        /Users/dtan4/src/k8s.io/client-go/1.4/tools/clientcmd (from $GOPATH)
```

## WHAT

Make example codes buildable with master version.

I read https://github.com/kubernetes/client-go#contributing-code and found `pkg/client` package. However, it seemed that `examples` directory did not exist there, so I made this pull request directly in this repository.

If there is another proper way to send patches, please let me know.

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/client-go/39)
<!-- Reviewable:end -->
",[],3,2016-11-15 01:57:38,2016-11-21 22:09:50,2016-11-21 23:37:37,True,2016-11-21 22:09:50,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/53,https://github.com/kubernetes/client-go/pull/53,caesarxuchao,fix thirdparty example,"Update the example to compile against HEAD.

Fixes https://github.com/kubernetes/client-go/issues/52

cc @wfarr ",[],1,2016-12-14 19:55:20,2016-12-14 20:34:55,2016-12-14 20:34:55,True,2016-12-14 20:34:54,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/54,https://github.com/kubernetes/client-go/pull/54,caesarxuchao,Cherry-pick fixes to release 2.0,"CHANGELOG:
clientset supports multiple versions per group
apps & policy group graduate to v1beta1

I'll make v2.0.0 after this PR gets merged.  

After this PR gets merged, the release-2.0 branch is roughly tracking the kubernetes/release-1.5 branch. I'll manually cherry-pick bug fixes to the release-2.0 branch, and create v2.x.0 tags. (It seems we should name the branch release-2 instead of release-2.0)",['mbohlool'],10,2016-12-14 23:21:18,2016-12-20 06:23:22,2016-12-20 06:23:23,True,2016-12-20 06:23:22,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/61,https://github.com/kubernetes/client-go/pull/61,ash2k,Cleanup example,Fix for #59. I'm not sure about `Schema` - see [the comment in the `init()` function](https://github.com/kubernetes/kubernetes/blob/master/pkg/api/register.go#L75). If a new Schema is created for the client does it need to have those converter functions added manually?,[],2,2017-01-10 08:33:11,2017-02-08 11:18:54,2017-02-08 11:18:54,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/65,https://github.com/kubernetes/client-go/pull/65,rmohr,Add workqueue example,"Demonstrates how to compose a controller out of cache.Controller, cache.Indexer and a workqueue.

Tested on kubernetes 1.4.5.",['mbohlool'],2,2017-01-12 12:33:54,2017-03-11 00:47:06,2017-05-01 17:05:20,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/72,https://github.com/kubernetes/client-go/pull/72,deads2k,update for new packages,@lavalamp where do these examples live.  They need some updates.,[],1,2017-01-18 21:15:35,2017-02-14 01:35:55,2017-02-14 01:35:55,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/75,https://github.com/kubernetes/client-go/pull/75,berrange,Fix build of third-party-resource example program,"The TPR example was broken by the extraction of much
client-go code into the apimachinery package.

",[],1,2017-01-20 11:12:36,2017-02-02 09:41:21,2017-02-02 09:41:21,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/77,https://github.com/kubernetes/client-go/pull/77,fate-grand-order,fix misspell “ underlying” in request.go,"Sorry, client-go does not accept changes via pull requests at this time. Please
submit your pull request to the main repository:
https://github.com/kubernetes/kubernetes.  See the guidance here:
https://github.com/kubernetes/client-go#contributing-code.
",[],1,2017-01-22 15:50:38,2017-01-22 15:51:21,2017-01-22 15:51:21,False,,,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/86,https://github.com/kubernetes/client-go/pull/86,lavalamp,Fix examples that don't build,,['caesarxuchao'],1,2017-02-02 00:30:36,2017-02-02 00:30:51,2017-03-02 07:34:43,True,2017-02-02 00:30:51,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/87,https://github.com/kubernetes/client-go/pull/87,lavalamp,enable travis,,['caesarxuchao'],1,2017-02-02 00:50:41,2017-02-02 01:01:49,2017-02-02 01:02:10,True,2017-02-02 01:01:49,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/94,https://github.com/kubernetes/client-go/pull/94,caesarxuchao,Fix the import path for examples in release-1.5 branch,"They should import 1.5 instead of 1.4.

cc @lavalamp ",[],1,2017-02-08 02:32:21,2017-02-08 02:33:20,2017-02-08 02:33:25,True,2017-02-08 02:33:20,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/96,https://github.com/kubernetes/client-go/pull/96,caesarxuchao,add back travis,"The file is copied from #87.

The file was deleted by the publishing robot.

update: the robot is fixed in https://github.com/kubernetes/test-infra/pull/1784, it won't delete .travis.yml again.

cc @lavalamp 
",[],1,2017-02-11 13:33:01,2017-02-11 13:33:54,2017-02-13 17:36:49,True,2017-02-11 13:33:54,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/97,https://github.com/kubernetes/client-go/pull/97,caesarxuchao,enable travis in release-2.0,"Cherry-pick of https://github.com/kubernetes/client-go/pull/87

cc @lavalamp",[],1,2017-02-11 13:43:21,2017-02-11 13:45:53,2017-02-13 17:35:42,True,2017-02-11 13:45:53,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/98,https://github.com/kubernetes/client-go/pull/98,caesarxuchao,enable travis in release-1.5,"Cherry-pick of #87

cc @lavalamp",[],1,2017-02-11 13:52:47,2017-02-11 13:55:40,2017-02-13 17:36:19,True,2017-02-11 13:55:40,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/99,https://github.com/kubernetes/client-go/pull/99,caesarxuchao,enable travis in release-1.4,"Cherry-pick of #87

cc @lavalamp",[],1,2017-02-11 13:56:37,2017-02-11 14:00:37,2017-02-11 14:00:37,True,2017-02-11 14:00:37,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/101,https://github.com/kubernetes/client-go/pull/101,caesarxuchao,"manually fix master, revert to when client-go depends on apimachinery 7080e","manually fix master, revert to when client-go depends on apimachinery 7080e7080e31e90e981181435294bca96c80a37db8941

cc @lavalamp 

Fix #93",[],1,2017-02-12 03:16:39,2017-02-13 04:05:38,2017-02-13 17:40:56,True,2017-02-13 04:05:38,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/102,https://github.com/kubernetes/client-go/pull/102,caesarxuchao,manually update release-2.0,"It's tracking k8s.io/kubernetes release 1.5, last commit is bde8578d9675129b7a2aa08f1b825ec6cc0f3420

Fix https://github.com/kubernetes/client-go/issues/66.

cc @lavalamp ",[],1,2017-02-13 04:27:56,2017-02-13 17:46:51,2017-02-13 17:46:51,True,2017-02-13 17:46:51,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/103,https://github.com/kubernetes/client-go/pull/103,caesarxuchao,[DO NOT MERGE] Release 2.0 updates generated by the robot,"caesarxuchao/client-go#release-2.0 is updated by the robot. This PR is to verify if the robot generates compilable code.

cc @lavalamp @sttts @deads2k",[],2,2017-02-13 15:45:31,2017-02-21 18:45:01,2017-02-21 18:45:01,False,,,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/104,https://github.com/kubernetes/client-go/pull/104,caesarxuchao,[DO NOT MERGE] master updates generated by the robot,"caesarxuchao/client-go#master is updated by the robot. This PR is to verify if the robot generates compilable code.

Note that in Godeps.yml, the apimachinery commit it updated to the [latest commit](https://github.com/caesarxuchao/apimachinery/commits/master). The code in vendor/apimachinery is also updated.

cc @lavalamp @sttts @deads2k
",[],19,2017-02-13 15:51:38,2017-02-21 18:45:06,2017-02-21 18:45:06,False,,,dirty,False,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/106,https://github.com/kubernetes/client-go/pull/106,lavalamp,Detailed installation instructions,Fix #105.,['caesarxuchao'],1,2017-02-14 23:09:31,2017-02-15 18:41:56,2017-03-01 23:58:53,True,2017-02-15 18:41:56,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/108,https://github.com/kubernetes/client-go/pull/108,lavalamp,Update README to explain versioning better,Trying to clear up more confusion.,['caesarxuchao'],1,2017-02-15 00:16:36,2017-02-15 13:49:16,2017-02-15 18:25:45,True,2017-02-15 13:49:16,caesarxuchao,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/109,https://github.com/kubernetes/client-go/pull/109,caesarxuchao,minor change to README,Fixed the matrix. Though there is still one question left: https://github.com/kubernetes/client-go/pull/108#discussion_r101276771,['lavalamp'],1,2017-02-15 13:52:06,2017-02-15 18:26:08,2017-02-16 01:41:49,True,2017-02-15 18:26:08,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/112,https://github.com/kubernetes/client-go/pull/112,caesarxuchao,update CHANGELOG,Partially addressed https://github.com/kubernetes/client-go/issues/111.,['lavalamp'],1,2017-02-16 12:36:06,2017-02-16 17:42:38,2017-02-16 17:42:38,True,2017-02-16 17:42:38,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/113,https://github.com/kubernetes/client-go/pull/113,caesarxuchao,update INSTALL.md to use 2.0.0 as example,@lavalamp,['lavalamp'],1,2017-02-16 12:40:07,2017-02-16 17:43:02,2017-02-16 17:43:02,True,2017-02-16 17:43:02,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/115,https://github.com/kubernetes/client-go/pull/115,Firemango,Fix broken link to Dep,Fix broken link to Dep,[],1,2017-02-16 18:32:59,2017-02-16 18:56:58,2017-02-16 18:58:04,True,2017-02-16 18:56:58,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/116,https://github.com/kubernetes/client-go/pull/116,lavalamp,"Add deprecation status/policy, version recommendation",,['caesarxuchao'],1,2017-02-16 18:53:16,2017-02-16 18:53:45,2017-02-17 02:27:48,True,2017-02-16 18:53:45,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/117,https://github.com/kubernetes/client-go/pull/117,Firemango,Fix broken example,"Installing and trying to run this example gives an error. This update fixes the issue.
",[],1,2017-02-16 19:11:07,2017-02-16 19:14:20,2017-02-16 19:47:50,False,,,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/118,https://github.com/kubernetes/client-go/pull/118,hongchaodeng,INSTALL.md: fix link to dep,,[],1,2017-02-16 23:01:17,2017-02-17 21:23:29,2017-02-17 21:25:05,True,2017-02-17 21:23:29,lavalamp,unknown,,closed
client-go,https://api.github.com/repos/kubernetes/client-go/pulls/121,https://github.com/kubernetes/client-go/pull/121,lavalamp,fix dep install command,Fixes #120.,[],1,2017-02-17 21:41:01,2017-02-17 21:41:08,2017-02-17 21:41:08,True,2017-02-17 21:41:08,lavalamp,unknown,,closed
