name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/2,https://github.com/kubernetes/cluster-registry/pull/2,perotinus,Fix a typo,,[],1,2017-09-20 20:30:52,2017-09-20 20:46:28,2017-10-05 17:58:26,True,2017-09-20 20:46:28,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/3,https://github.com/kubernetes/cluster-registry/pull/3,G-Harmon,Remove unnecessary Cluster-Registry header line.,,['perotinus'],1,2017-09-21 18:28:46,2017-09-21 18:53:13,2017-09-21 18:53:13,True,2017-09-21 18:53:13,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/5,https://github.com/kubernetes/cluster-registry/pull/5,G-Harmon,blah change. Testing.,Testing a PR. Please ignore.,[],1,2017-09-23 00:23:53,2017-09-29 23:53:09,2017-09-29 23:53:09,False,,,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/9,https://github.com/kubernetes/cluster-registry/pull/9,font,Update README instructions and bazel BUILD file,"I started going through the README to build the binaries and container images and ran into some issues fixed here:

1. Update script name
1. Update build and run commands
1. Update bazel BUILD file to allow specifying `project` to upload container image
1. Update generated bazel BUILD file
1. Typos

I also ran into an issue because I was missing the Mercurial `hg` CLI tool due to a [bitbucket dependency for `bitbucket.org/ww/goautoneg`](https://github.com/kubernetes/apiserver/blob/b2a8ad67a002d27c8945573abb80b4be543f2a1f/Godeps/Godeps.json#L10) since we have [k8s.io/apiserver in our WORKSPACE dependency](https://github.com/kubernetes/cluster-registry/blob/94f78f21436ae2a8b24ca0fb8d07001c5b7cd52d/WORKSPACE#L61-L67). Installing Mercurial fixed the problem but I'm thinking that should have been handled for me.",[],1,2017-09-27 22:40:44,2017-09-29 23:52:55,2017-12-12 00:21:40,True,2017-09-29 23:52:55,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/12,https://github.com/kubernetes/cluster-registry/pull/12,perotinus,Add a note about and workaround for bazel 0.6.0 incompatibility,,[],1,2017-10-02 22:55:45,2017-10-03 19:33:34,2017-10-04 15:03:57,True,2017-10-03 19:33:34,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/13,https://github.com/kubernetes/cluster-registry/pull/13,perotinus,Update the versions of go and docker rules in the WORKSPACE.,Tested with bazel 0.6.0 and 0.5.4.,[],1,2017-10-03 23:48:33,2017-10-04 17:23:11,2017-10-04 17:23:11,True,2017-10-04 17:23:11,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/14,https://github.com/kubernetes/cluster-registry/pull/14,perotinus, Remove the need for Mercurial to be installed by depending on an HTTP archive instead.,Tested by removing the hg command from the PATH and running `bazel fetch`.,[],1,2017-10-04 00:01:08,2017-10-04 17:22:11,2017-10-05 17:58:17,True,2017-10-04 17:22:11,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/15,https://github.com/kubernetes/cluster-registry/pull/15,perotinus,Uncomment a block that configures the API server with authentication options.,"Without this, the API server will not authorize any requests.

cc @font @madhusudancs",[],1,2017-10-04 21:07:24,2017-10-06 00:14:36,2017-10-06 00:14:49,True,2017-10-06 00:14:36,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/16,https://github.com/kubernetes/cluster-registry/pull/16,perotinus,Flesh out the API of the cluster registry,"The API is still a WIP, but this brings it closer to the expected finalform, and to what exists in the API design document.

cf https://docs.google.com/document/d/1Oi9EO3Jwtp69obakl-9YpLkP764GZzsz95XJlX1a960/edit# (Must be member of [kubernetes-dev](https://groups.google.com/forum/#!forum/kubernetes-dev) to view.)",[],1,2017-10-04 21:16:05,2017-10-10 22:04:34,2017-10-10 22:05:59,True,2017-10-10 22:04:34,perotinus,unknown,,closed
cluster-registry,https://api.github.com/repos/kubernetes/cluster-registry/pulls/17,https://github.com/kubernetes/cluster-registry/pull/17,perotinus,Rename cmd/cr/app/clusterregistry.go to cluster.go,cc @madhusudancs @font ,[],1,2017-10-05 23:12:37,2017-10-07 01:14:16,2017-10-10 22:10:28,True,2017-10-07 01:14:16,perotinus,unknown,,closed
